guid,success,url,published_at,updated_at,valid_readme
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,t,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/13886436,2013-11-12 23:45:16,2013-11-12 23:45:18.189948,t
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,t,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/13945176,2013-11-14 00:38:52,2013-11-14 00:38:53.450926,t
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,f,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/15504088,2013-12-16 03:11:05,2013-12-16 03:11:06.241653,t
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,t,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/16134318,2013-12-30 10:33:40,2013-12-30 10:33:56.026781,t
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,t,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/16135027,2013-12-30 11:01:12,2013-12-30 11:01:13.676774,t
e794be6b-2609-4246-b34a-6b20eb79b2c0,t,https://travis-ci.org/codeforamerica/promptly/builds/16606775,2014-01-08 19:06:34,2014-01-08 19:06:34.656456,t
e794be6b-2609-4246-b34a-6b20eb79b2c0,t,https://travis-ci.org/codeforamerica/promptly/builds/16663072,2014-01-09 16:06:54,2014-01-09 16:07:18.503326,t
e794be6b-2609-4246-b34a-6b20eb79b2c0,f,https://travis-ci.org/codeforamerica/promptly/builds/17232103,2014-01-19 18:29:45,2014-01-19 18:29:58.131492,t
e794be6b-2609-4246-b34a-6b20eb79b2c0,t,https://travis-ci.org/codeforamerica/promptly/builds/17232133,2014-01-19 18:38:02,2014-01-19 18:38:03.383554,t
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,f,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/18432445,2014-02-07 18:46:54,2014-02-07 18:47:08.270386,t
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/18766874,2014-02-12 23:02:23,2014-02-12 23:02:24.388003,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/18768458,2014-02-12 23:28:34,2014-02-12 23:28:35.25698,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/18774146,2014-02-13 01:11:17,2014-02-13 01:11:17.895567,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/18965242,2014-02-16 04:48:43,2014-02-16 04:48:58.53824,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19090308,2014-02-18 06:02:40,2014-02-18 06:02:54.080205,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19090469,2014-02-18 06:09:13,2014-02-18 06:09:14.515726,f
001d08e8-5e39-4824-8117-df996d35c531,f,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19156836,2014-02-19 02:01:30,2014-02-19 02:01:31.358916,f
001d08e8-5e39-4824-8117-df996d35c531,f,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19156939,2014-02-19 02:05:37,2014-02-19 02:05:38.152356,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19237646,2014-02-20 06:09:28,2014-02-20 06:09:30.107108,f
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,t,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/19238006,2014-02-20 06:22:22,2014-02-20 06:22:23.90613,t
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,t,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/19308627,2014-02-21 03:35:35,2014-02-21 03:35:36.680267,t
2b40577c-2e35-4893-affa-c7fe5cfbe6b5,t,https://travis-ci.org/codeforamerica/bizfriendly-api/builds/19308981,2014-02-21 03:46:46,2014-02-21 03:46:47.152605,t
707eb273-de8f-4125-9f9f-846fb30bd83c,t,https://travis-ci.org/codeforamerica/engine-light/builds/19543687,2014-02-25 00:58:20,2014-02-25 00:58:20.426505,t
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19558010,2014-02-25 07:43:37,2014-02-25 07:43:37.635977,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19558069,2014-02-25 07:44:36,2014-02-25 07:44:36.340967,f
001d08e8-5e39-4824-8117-df996d35c531,t,https://travis-ci.org/codeforamerica/brigade-alpha/builds/19558458,2014-02-25 07:55:28,2014-02-25 07:55:28.54035,f
